"State","Occupation","Pixels","State.Pixels","PixPercent","Number","CensusPercent"
"Kentucky","Manufacturing",33,614.827050997783,5.36736305704919,44197,4.72511214455973
"Kentucky","Trade",19,614.827050997783,3.09029994193742,25292,2.70397394303244
"Kentucky","Service",64,614.827050997783,10.4094313833681,84024,8.98302651389204
"Kentucky","School",128,614.827050997783,20.8188627667363,181205,19.3726711350306
"Kentucky","Unaccounted",177.827050997783,614.827050997783,28.9231013354395,339566.043176972,36.3030892254136
"Louisiana","Agriculture",195,631.671840354767,30.8704595554682,141467,26.9876843705835
"Louisiana","Manufacturing",37,631.671840354767,5.85747181308884,25807,4.92320591057737
"Louisiana","Trade",33,631.671840354767,5.22423161707923,23831,4.54624404444412
"Louisiana","Service",83,631.671840354767,13.1397340671993,65347,12.4662586367458
"Louisiana","School",64,631.671840354767,10.1318431361537,51259,9.77868840896987
"Louisiana","Unaccounted",219.671840354767,631.671840354767,34.7762598110108,216479.95338983,41.2979186286793
"Maine","Agriculture",111,603.192904656319,18.4020732245258,82011,16.0254409518565
"Maine","Manufacturing",79,603.192904656319,13.0969710336715,62007,12.1165394532656
"Maine","Trade",36,603.192904656319,5.96823996471107,28115,5.49383951374138
"Maine","Service",48,603.192904656319,7.95765328628143,36092,7.05259312573196
"Maine","School",190,603.192904656319,31.4990442581973,155130,30.3133318074587
"Maine","Unaccounted",139.192904656319,603.192904656319,23.0760182326128,148400.029058963,28.9982551479459
"Maryland","Agriculture",97,618.137472283814,15.6923021737571,80449,13.9435319592681
"Maryland","Manufacturing",75,618.137472283814,12.1332233302246,63326,10.9757499142639
"Maryland","Trade",42,618.137472283814,6.79460506492575,35542,6.16018860267135
"Maryland","Service",93,618.137472283814,15.0451969294784,79226,13.7315599075809
"Maryland","School",121,618.137472283814,19.5749336394289,105435,18.2741400405901
"Maryland","Unaccounted",190.137472283814,618.137472283814,30.7597388621852,212984.854426037,36.9148295756257
"Massachusetts","Agriculture",47,593.747228381375,7.91582642467697,72810,6.04799265323507
"Massachusetts","Manufacturing",155,593.747228381375,26.1053850175517,292665,24.3103388251482
"Massachusetts","Trade",48,593.747228381375,8.08424826349989,83078,6.90090830442883
"Massachusetts","Service",71,593.747228381375,11.9579505564269,131291,10.9057410168368
"Massachusetts","School",147,593.747228381375,24.7580103069684,287382,23.871504253152
"Massachusetts","Unaccounted",125.747228381375,593.747228381375,21.1785794308761,336644.510012177,27.9635149471991
"Michigan","Agriculture",134,603.505543237251,22.2036071584718,187211,20.7718331801868
"Michigan","Manufacturing",56,603.505543237251,9.27911940951058,82637,9.16891624162627
"Michigan","Trade",21,603.505543237251,3.47966977856647,29588,3.28291072712269
"Michigan","Service",72,603.505543237251,11.9302963836565,104728,11.6200038742093
"Michigan","School",188,603.505543237251,31.1513294462141,263844,29.2745808397648
"Michigan","Unaccounted",132.505543237251,603.505543237251,21.9559778235806,233265.365600544,25.8817551370902
"Minnesota","Agriculture",150,599.505543237251,25.0206193574158,75157,24.083509253738
"Minnesota","Manufacturing",41,599.505543237251,6.83896929102697,18588,5.95638822742368
"Minnesota","Trade",23,599.505543237251,3.83649496813708,10582,3.39092426418105
"Minnesota","Service",57,599.505543237251,9.50783535581799,28330,9.07814065434221
"Minnesota","School",196,599.505543237251,32.6936092936899,96761,31.0063525539995
"Minnesota","Unaccounted",132.505543237251,599.505543237251,22.1024717339123,82650.3086844368,26.4846850463155
"Mississippi","Agriculture",309,625.164079822616,49.4270240362619,259199,45.1770515799331
"Mississippi","Manufacturing",14,625.164079822616,2.23941209225782,9981,1.7396369269145
"Mississippi","Trade",9,625.164079822616,1.4396220593086,9148,1.59444931443882
"Mississippi","Service",49,625.164079822616,7.83794232290237,40522,7.06277602969938
"Mississippi","School",42,625.164079822616,6.71823627677346,39141,6.82207483782793
"Mississippi","Unaccounted",202.164079822616,625.164079822616,32.3377632124959,215749.407873655,37.6040113111862
"Missouri","Agriculture",143,618.565410199556,23.1180078358838,263918,21.6623646088678
"Missouri","Manufacturing",47,618.565410199556,7.5982263516541,79850,6.55408048718955
"Missouri","Trade",30,618.565410199556,4.84993171382177,54885,4.5049556360601
"Missouri","Service",56,618.565410199556,9.05320586580063,106903,8.77458818186631
"Missouri","School",171,618.565410199556,27.6446107687841,324340,26.6217966839707
"Missouri","Unaccounted",171.565410199557,618.565410199556,27.7360174640557,388428.983284427,31.8822144020456
"Nebraska","Agriculture",177,617.039911308204,28.6853405681226,23115,26.1074658083686
"Nebraska","Manufacturing",43,617.039911308204,6.96875505327272,5763,6.50907745851733
"Nebraska","Trade",35,617.039911308204,5.67224248522199,4628,5.22714046122127
"Nebraska","Service",74,617.039911308204,11.9927412544693,10331,11.6684503251679
"Nebraska","School",126,617.039911308204,20.4200729467991,17948,20.2715464559204
"Nebraska","Unaccounted",162.039911308204,617.039911308204,26.2608476921142,26752.8924544666,30.2163194908046
"Nevada","Agriculture",38,590.534368070953,6.43484986727043,2070,5.7052660538243
"Nevada","Manufacturing",222,590.534368070953,37.5930702772114,13789,38.0047891865619
"Nevada","Trade",61,590.534368070953,10.3296274185131,3621,9.98008134342887
"Nevada","Service",120,590.534368070953,20.3205785282224,7431,20.4810782830765
"Nevada","School",48,590.534368070953,8.12823141128896,2892,7.97083547229945
"Nevada","Unaccounted",101.534368070953,590.534368070953,17.1936424974937,6479.2694063927,17.857949660809
"New Hampshire","Agriculture",114,609.60088691796,18.7007601935038,46573,17.6755466869205
"New Hampshire","Manufacturing",114,609.60088691796,18.7007601935038,46553,17.6679562174696
"New Hampshire","Trade",20,609.60088691796,3.28083512166733,8514,3.23126284526316
"New Hampshire","Service",46,609.60088691796,7.54592077983487,18528,7.03181089934646
"New Hampshire","School",160,609.60088691796,26.2466809733387,65824,24.9817530569183
"New Hampshire","Unaccounted",155.60088691796,609.60088691796,25.5250427381515,77496.3142509135,29.4116702940821
"New Jersey","Agriculture",64,609.232815964523,10.5050152130556,63128,9.21142570859814
"New Jersey","Manufacturing",98,609.232815964523,16.0858045449913,103322,15.0763991741189
"New Jersey","Trade",49,609.232815964523,8.04290227249567,46206,6.74222431078896
"New Jersey","Service",81,609.232815964523,13.2954098790235,83380,12.1665295207026
"New Jersey","School",152,609.232815964523,24.949411131007,158085,23.0672321813417
"New Jersey","Unaccounted",165.232815964523,609.232815964523,27.121456959427,231201.793637417,33.7361891044498
"New York","Agriculture",74,610.039911308204,12.1303538716525,374323,10.9789709566885
